ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2009,0,0.3,0
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2010,0,0.3,0
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2011,0,0.3,0
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2012,0,0.3,0
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2013,0,0.1,0
1,Biologie,Biologie totaal,NL81_1,[-],0,0,0,2014,0,0.3,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2009,0,0.5,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2010,0,0.3,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2011,0,0.7,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2012,0,0.5,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2013,0,0.5,0
1,Biologie,Biologie totaal,NL81_10,[-],0,0,0,2014,0,0.5,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2009,0,0.5,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2010,0,0.7,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2011,0,0.3,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2012,0,0.3,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2013,0,0.7,0
1,Biologie,Biologie totaal,NL81_2,[-],0,0,0,2014,0,0.5,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2009,0,0.7,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2010,0,0.5,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2011,0,0.3,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2012,0,0.7,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2013,0,0.7,0
1,Biologie,Biologie totaal,NL81_3,[-],0,0,0,2014,0,0.5,0
1,Biologie,Biologie totaal,NL86_5,[-],0,0,0,2009,0,0.3,0
1,Biologie,Biologie totaal,NL86_5,[-],0,0,0,2010,0,0.4,0
