ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jan/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Feb/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Mar/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Apr/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,May/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jun/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jul/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Aug/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Sep/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Oct/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Nov/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Dec/09,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jan/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Feb/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Mar/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Apr/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,May/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jun/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jul/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Aug/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Sep/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Oct/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Nov/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Dec/10,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jan/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Feb/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Mar/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Apr/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,May/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jun/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Jul/11,,,
43,GEBRUIK,Rioolvreemd water - Overschrijdingen draaitijd gemalen,Haven,Gem./gemaal/maand,0,1,2,Aug/11,,,
