ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Jan/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Feb/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Mar/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Apr/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,May/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Jun/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Jul/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Aug/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Sep/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Oct/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Nov/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Dec/09,NULL,NULL,NULL
33,OMGEVINGSEFFECT,Water in tunnels - Alarmen tunnelgemalen,Haven,Gem. aantal/tunnelgemaal/maand,0,0.15,0.3,Jan/10,NULL,NULL,NULL
