ID_PI,KPI,PI,Gebied,Eenheid,Ref_value_month_2,Ref_value_month_0,Ref_value_month_minus2,Date,Value,Score,Abs
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Apr/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,May/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jun/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jul/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Aug/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Sep/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Oct/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Nov/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Dec/09,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Apr/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,May/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jun/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jul/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Aug/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Sep/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Oct/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Nov/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Dec/10,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Apr/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,May/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jun/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jul/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Aug/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Sep/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Oct/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Nov/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Dec/11,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Jan/12,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Feb/12,,,
19,TOESTAND,Functioneren gemalen - Peiloverschrijdingen gemaalkelder,Haven,gem. aantal/gemaal/maand,0,1,2,Mar/12,,,
